A. MODELO BIO MEDICO,B. ENFOQUE PSICOSOCIAL - COMUNITARIO,C. ENFOQUE COTIDIANO
SINDROME,Patología multicausal   ,Locura
PERDIDA FUNCIONES COGNITIVAS,Patología multidimensional,Vejez
ALTERACIONES BIOMARCADORES,Problema de salud pública,Pérdida del juicio
ENFERMEDAD NEURODEGENERATIVA,Una epidemia,Enfermedad crónica
ENTIDAD CLINICA BIOLOGICA,Enfermedad del siglo,Senilidad
ENFERMEDAD NEUROLOGICA,Problema social                         ,Enfermedad irreversible
TRASTORNO NEURODEGENERATIVO IRREVERSIBLE,problema sanitario,Demente
CONDICION CLINICA,problema económico ,Sufrimiento
AFECTACION DEL CEREBRO, problema legal,Dependencia
DETERIORO COGNITIVO SIGNIFICATIVO , afecta entorno familiar  ,Enfermedad devastadora
PATOLOGIA FRONTO-PARIETAL DEL CEREBRO, afectación del cuidador,Enfermedad psiquiátrica
DEPOSITO ANORMAL PROTEINAS,Problema sociosanitario      ,Enfermedad compleja
ENFERMEDAD DEL SISTEMA NERVIOSO,   Problema contextualizado,
ALTERACIÓN DE LA FUNCIONALIDAD,Pérdida de autonomía,
PERDIDA MEMORIA,,
DETERIORO LABORAL,,
DIFICULTAD EN CONTROL EMOCIONAL,,
AFECTACIÓN PERCEPTIVO MOTRIZ,,
PERDIDAS DE LA ACTIVIDAD DE LA VIDA DIARIA,,
ALTERACIONES CONDUCTUALES,,
ALTERACIONES PSICOLOGICAS,,
DETERIORO GLOBAL PERSISTENTE,,
DIFICULTAD PARA RESOLVER PROBLEMAS,,
DETERIORO COGNITIVO ADQUIRIDO,,
